ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA
873019,1,8,5522,BELLA FORM,D155,4970,NEGRO,XF,2,ROPA,5,DAMA,114,FAJA,66,ROPA DE CONTROL,,
873023,1,8,5522,BELLA FORM,T125,4970,NEGRO,XF,2,ROPA,5,DAMA,114,FAJA,66,ROPA DE CONTROL,,
873027,1,8,5522,BELLA FORM,T122,4970,NEGRO,XF,2,ROPA,5,DAMA,114,FAJA,66,ROPA DE CONTROL,,
873020,1,24,5522,BELLA FORM,D147,4970,NEGRO,XI,2,ROPA,5,DAMA,501,BUSTIER,70,ROPA INTERIOR,,
875249,8,25,4725,AGLORY LIMITED,PIGY,839,ROSA,YD,1,CALZADO,8,NIÑA,199,PANTUFLA,17,CONFORT,,
960727,21,28,616,ADIDAS,1730,2179,BLANCO,U5,1,CALZADO,5,DAMA,244,SANDALIA,54,PLAYA/BAÑO,,
964651,21,28,202,LA PAG,026,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511,TENIS URBANO AGUJETA CAJA (511)
964652,21,28,202,LA PAG,026,825,ROJO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511,TENIS URBANO AGUJETA CAJA (511)
964653,21,28,870,FLEXI,5105,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,750,FLEXI BASICO (750)
964649,21,28,3960,ZIA,1104,2179,BLANCO,U5,1,CALZADO,5,DAMA,287,ZAPATILLA,83,VESTIR,,
964661,21,28,395,PIETRO ALESSANDRO,4903,366,BEIGE,U5,1,CALZADO,5,DAMA,287,ZAPATILLA,83,VESTIR,619,ZAP PUNTAL TACON MEDIO (619)
