ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA
977576,21,28,3487,TREVI SHOES,0308,10214,TAN/MARINO,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,714,KIT BOTA TEXANO (714)
977577,21,28,985,TAGUESI,0807,1602,NAVY,U5,1,CALZADO,5,DAMA,42,BOTA,131,MILITAR,462,BN MILITAR TACON MEDIO (462)
977573,48,48,5587,USO GENERICO,120,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,447,REFRESCOS,112,BEBIDAS,,
977578,48,48,5587,USO GENERICO,1120,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,447,REFRESCOS,112,BEBIDAS,,
977586,48,48,5587,USO GENERICO,DITO,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,543,EXTRUIDOS,113,BOTANAS,,
977580,48,48,5587,USO GENERICO,BADA,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,452,PAPAS,113,BOTANAS,,
977572,48,48,5587,USO GENERICO,4585,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,451,DULCES Y CARAMELOS,114,DULCES,,
977571,48,48,5587,USO GENERICO,4554,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,451,DULCES Y CARAMELOS,114,DULCES,,
977592,48,48,5587,USO GENERICO,SOPR,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,545,SOPAS,123,ALIMENTOS PREPARADOS,,
977590,48,48,5587,USO GENERICO,SOPA,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,545,SOPAS,123,ALIMENTOS PREPARADOS,,
977596,48,48,5587,USO GENERICO,1544,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,454,AGUA EMBOTELLADA,112,BEBIDAS,,
977589,48,48,5587,USO GENERICO,ITAS,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,542,CHICHARRONES,113,BOTANAS,,
977585,48,48,5587,USO GENERICO,TALI,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,452,PAPAS,113,BOTANAS,,
