ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA,Total
821911,21.0,28.0,4950,YUAN SHENG,9EE2,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,131,MILITAR,671.0,BN MILITAR TACON ALTO (671),1656.0
821914,21.0,28.0,4950,YUAN SHENG,9Q14,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,12,CASUAL,1667.0,BN/BC TACON BAJO (1667),1917.0
821916,21.0,28.0,4950,YUAN SHENG,9O02,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,12,CASUAL,472.0,BN SUELA CORRIDA (472),1601.0
821919,21.0,28.0,4950,YUAN SHENG,9U08,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1680.0,TEXANO TACON ALTO (1680),821.0
821906,21.0,28.0,4950,YUAN SHENG,9CC1,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,83,VESTIR,1774.0,BC PLAT C/TACON MEDIO ANCHO (1774),1638.0
821909,21.0,28.0,4950,YUAN SHENG,9P02,382,CAFE,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,697.0,BN TEXANO TACON ALTO HERRAJE (697),1463.0
820968,21.0,28.0,1035,MARIELLA,2350,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,23.0,SAND MEDIA PLAT DELG TALON C/P (23),4016.0
820966,21.0,28.0,5076,JEKARI SHOES,437,2534,MARINO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,52.0,SAND PLAT ALTO ROMANO (52),6014.0
825624,21.0,28.0,5161,FIGUERAS,G686,2534,MARINO,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),1825.0
825620,21.0,28.0,5161,FIGUERAS,G682,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),4057.0
825622,21.0,28.0,5161,FIGUERAS,G688,4970,NEGRO,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),3068.0
825623,21.0,28.0,5161,FIGUERAS,G688,1473,TAUPE,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),2389.0
825621,21.0,28.0,5161,FIGUERAS,G682,1601,WHISKY,U5,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),3379.0
821921,21.0,28.0,5577,WINBEST,7102,501,GRIS,U5,1,CALZADO,5,DAMA,42,BOTA,133,URBANO,1800.0,URBANO (1800),809.0
820714,8.0,25.0,1363,TROPICANA N,1410,1117,PERLA,YD,1,CALZADO,8,NIÑA,490,BALLERINA,12,CASUAL,,,2533.0
824601,24.0,32.0,4598,RODRI-SAN,4704,382,CAFE,U3,1,CALZADO,3,CABALLERO,42,BOTA,17,CONFORT,1709.0,CONFORT BN CHUKKA (1709),5941.0
820711,8.0,25.0,4133,ENSUEÑO,2716,11428,BLANCO/MAQUILLAJE,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,2890.0
820716,21.0,28.0,7503,LADY LIQUID,8501,22856,ORO ROSADO/LADRILLO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,237.0,SAND KIT TACON (237),4631.0
820712,8.0,25.0,22,BAMBINO,3193,10698,NUTTY,YD,1,CALZADO,8,NIÑA,66,CHOCLO,12,CASUAL,,,6017.0
820708,21.0,28.0,1042,MILAGROS,7426,11041,LADY,U5,1,CALZADO,5,DAMA,66,CHOCLO,12,CASUAL,,,2082.0
820709,21.0,28.0,985,TAGUESI,0081,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,12,CASUAL,,,2791.0
825629,8.0,25.0,1363,TROPICANA N,2001,825,ROJO,YD,1,CALZADO,8,NIÑA,42,BOTA,126,LLUVIA,,,2215.0
825628,8.0,25.0,1363,TROPICANA N,2005,4970,NEGRO,YD,1,CALZADO,8,NIÑA,42,BOTA,126,LLUVIA,,,789.0
825644,24.0,32.0,2836,CREAM SODA,61DP,796,OLIVO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,33,HIKER,1723.0,HIKER CHOCLO AGUJETA (1723),691.0
825645,24.0,32.0,2836,CREAM SODA,00DP,2562,VERDE,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,33,HIKER,1744.0,URBANO CASUAL CHOCLO AGUJETA (1744),2816.0
825643,24.0,32.0,2836,CREAM SODA,53RP,4970,NEGRO,U3,1,CALZADO,3,CABALLERO,42,BOTA,33,HIKER,1721.0,HIKER BN AGUJETA (1721),4014.0
825646,24.0,32.0,2836,CREAM SODA,100M,4970,NEGRO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,33,HIKER,1744.0,URBANO CASUAL CHOCLO AGUJETA (1744),661.0
185859,25.0,32.0,870,FLEXI,0101,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,12,CASUAL,1701.0,CASUAL CHOCLO AGUJETA (1701),4016.0
185861,25.0,32.0,870,FLEXI,0202,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,83,VESTIR,1761.0,VESTIR CAS CHOCLO MOCASIN (1761),2075.0
185869,25.0,32.0,870,FLEXI,0708,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,83,VESTIR,1764.0,VESTIR CHOCLO AGUJETA (1764),3621.0
185870,25.0,32.0,870,FLEXI,0708,783,NOGAL,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,83,VESTIR,1764.0,VESTIR CHOCLO AGUJETA (1764),1122.0
872851,21.0,28.0,1045,KIMEL,1253,9051,MAQUILLAJE/NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,221.0,SAND KIT PLAT (221),307.0
872852,8.0,25.0,4061,ROCK SHOP 1,4815,2876,NEGRO/ROSA,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,344.0
872853,8.0,25.0,4061,ROCK SHOP 1,2586,23277,CAMEL/AMARILLO,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,252.0
872162,8.0,25.0,1363,TROPICANA N,7001,810,PLATA,YD,1,CALZADO,8,NIÑA,66,CHOCLO,78,TENIS CASUAL URBANO,,,139.0
872160,8.0,25.0,1363,TROPICANA N,2005,5771,LILA/MULTICOLOR,YD,1,CALZADO,8,NIÑA,490,BALLERINA,12,CASUAL,,,149.0
872163,8.0,25.0,266,NOMADAS,9047,1928,CARAMELO,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,191.0
872157,8.0,25.0,1363,TROPICANA N,8017,3031,ROSA/MULTICOLOR,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,251.0
872158,8.0,25.0,1363,TROPICANA N,8021,1987,MULTICOLOR,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,156.0
872164,8.0,25.0,266,NOMADAS,7070,8825,ORO ROSADO,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,55.0
872159,8.0,25.0,1363,TROPICANA N,7150,5771,LILA/MULTICOLOR,YD,1,CALZADO,8,NIÑA,490,BALLERINA,12,CASUAL,,,196.0
872161,8.0,25.0,1363,TROPICANA N,9207,6384,ORO/BLANCO,YD,1,CALZADO,8,NIÑA,244,SANDALIA,12,CASUAL,,,146.0
872165,8.0,25.0,1031,ELEGA,FA01,1515,CORAL,YD,1,CALZADO,8,NIÑA,244,SANDALIA,54,PLAYA/BAÑO,,,116.0
872177,21.0,28.0,3061,STARS,9051,7244,MAQUILLAJE,U5,1,CALZADO,5,DAMA,244,SANDALIA,54,PLAYA/BAÑO,269.0,SAND PLAYA BAÑO EVA (269),799.0
872183,21.0,28.0,3055,LADIES D´VALERIA,851,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,12,CASUAL,554.0,MOCASIN SUELA CORRIDA (554),536.0
872181,21.0,28.0,22,BAMBINO,4791,2534,MARINO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,564.0,TENIS URBANO AGUJETA (564),131.0
872179,21.0,28.0,1363,TROPICANA N,2631,23272,MARINO/OCRE,U5,1,CALZADO,5,DAMA,490,BALLERINA,12,CASUAL,186.0,KIT BALLERINA PUNTAL (186),151.0
872180,21.0,28.0,1363,TROPICANA N,3045,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511.0,TENIS URBANO AGUJETA CAJA (511),73.0
872184,21.0,28.0,4531,TOP MODA,1009,2186,BLANCO/NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,188.0,KIT TENIS URBANO AGUJETA (188),445.0
872182,21.0,28.0,22,BAMBINO,4595,839,ROSA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511.0,TENIS URBANO AGUJETA CAJA (511),63.0
872187,21.0,28.0,1363,TROPICANA N,3045,4019,MANGO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511.0,TENIS URBANO AGUJETA CAJA (511),245.0
872185,21.0,28.0,4531,TOP MODA,9701,517,GRIS/ROSA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,188.0,KIT TENIS URBANO AGUJETA (188),408.0
872186,21.0,28.0,3055,LADIES D´VALERIA,850,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,12,CASUAL,556.0,MOCASIN YUTE (556),175.0
