fecha,Ta23,Ta24,Ta25,Ta26,Ta27,,
27/08/2021 00:00,2,2,2,1,,,
28/08/2021 00:00,1,1,1,0,,,
29/08/2021 00:00,3,0,2,0,,,
30/08/2021 00:00,0,1,2,1,,,
31/08/2021 00:00,0,1,0,0,,,
01/09/2021 00:00,2,3,1,0,,,
02/09/2021 00:00,0,0,1,0,,,
03/09/2021 00:00,1,0,1,0,,,
04/09/2021 00:00,2,1,1,2,,,
05/09/2021 00:00,2,1,0,0,,,
06/09/2021 00:00,1,3,0,0,,,
07/09/2021 00:00,1,1,4,1,,,
08/09/2021 00:00,-1,0,1,-1,,,
09/09/2021 00:00,3,1,0,0,,,
10/09/2021 00:00,2,2,2,1,,,
11/09/2021 00:00,2,2,1,-1,,,
12/09/2021 00:00,-1,1,1,0,,,
13/09/2021 00:00,1,4,3,2,,,
14/09/2021 00:00,1,0,0,0,,,
15/09/2021 00:00,3,0,1,1,,,
16/09/2021 00:00,5,2,1,0,,,
17/09/2021 00:00,3,1,2,2,,,
18/09/2021 00:00,2,1,2,2,,,
19/09/2021 00:00,2,4,2,2,,,
20/09/2021 00:00,0,0,1,1,,,
21/09/2021 00:00,2,1,1,-2,,,
22/09/2021 00:00,4,1,0,0,,,
23/09/2021 00:00,2,4,-1,2,,,
24/09/2021 00:00,1,1,2,-1,,,
25/09/2021 00:00,1,0,-1,0,,,
26/09/2021 00:00,6,4,-1,1,,,
27/09/2021 00:00,3,-1,1,-1,,,
28/09/2021 00:00,0,2,2,0,,,
29/09/2021 00:00,-2,1,2,-1,,,
30/09/2021 00:00,2,1,8,-2,,,
01/10/2021 00:00,4,6,3,3,,,
02/10/2021 00:00,1,2,1,3,,,
03/10/2021 00:00,4,4,1,2,,,
04/10/2021 00:00,0,3,2,0,,,
05/10/2021 00:00,3,3,-1,1,,,
06/10/2021 00:00,5,5,2,0,,,
07/10/2021 00:00,4,4,5,0,,,
08/10/2021 00:00,4,3,1,-1,,,
09/10/2021 00:00,0,0,0,0,,,
10/10/2021 00:00,0,0,1,0,,,
11/10/2021 00:00,5,5,0,1,,,
12/10/2021 00:00,10,2,1,0,,,
13/10/2021 00:00,1,3,1,2,,,
14/10/2021 00:00,-1,0,2,0,,,
15/10/2021 00:00,5,3,1,0,,,
16/10/2021 00:00,1,1,5,0,,,
17/10/2021 00:00,2,2,1,1,,,
18/10/2021 00:00,1,1,0,3,,,
19/10/2021 00:00,0,1,1,0,,,
20/10/2021 00:00,0,2,1,0,,,
21/10/2021 00:00,0,2,3,0,,,
22/10/2021 00:00,0,2,2,0,,,
23/10/2021 00:00,7,8,3,4,,,
24/10/2021 00:00,2,2,3,0,,,
25/10/2021 00:00,1,-1,2,1,,,
26/10/2021 00:00,2,1,2,0,,,
27/10/2021 00:00,3,0,1,1,,,
28/10/2021 00:00,0,6,-1,1,,,
29/10/2021 00:00,5,2,3,3,,,
30/10/2021 00:00,2,3,1,0,,,
31/10/2021 00:00,0,3,0,-1,,,
01/11/2021 00:00,1,1,2,0,,,
02/11/2021 00:00,0,1,1,0,,,
03/11/2021 00:00,3,2,2,1,,,
04/11/2021 00:00,2,2,3,1,,,
05/11/2021 00:00,1,2,0,0,,,
06/11/2021 00:00,3,3,2,-1,,,
07/11/2021 00:00,5,0,1,-1,,,
08/11/2021 00:00,3,2,0,1,,,
09/11/2021 00:00,0,0,0,1,,,
10/11/2021 00:00,2,0,3,0,,,
11/11/2021 00:00,5,4,4,0,,,
12/11/2021 00:00,4,2,3,0,,,
13/11/2021 00:00,0,3,0,0,,,
14/11/2021 00:00,3,2,1,1,,,
15/11/2021 00:00,0,3,0,0,,,
16/11/2021 00:00,0,3,1,2,,,
17/11/2021 00:00,2,0,2,0,,,
18/11/2021 00:00,0,1,0,1,,,
19/11/2021 00:00,0,0,3,0,,,
20/11/2021 00:00,0,2,-1,1,,,
21/11/2021 00:00,3,0,1,0,,,
22/11/2021 00:00,0,1,2,0,,,
23/11/2021 00:00,3,3,2,1,,,
24/11/2021 00:00,3,0,2,2,,,
25/11/2021 00:00,3,6,1,0,,,
26/11/2021 00:00,2,2,2,2,,,
27/11/2021 00:00,0,1,0,0,,,
28/11/2021 00:00,3,1,1,0,,,
29/11/2021 00:00,0,1,3,-1,,,
30/11/2021 00:00,1,2,0,0,,,
01/12/2021 00:00,0,1,2,0,,,
02/12/2021 00:00,3,2,0,0,,,
